tilt,pan,total_images,true_positives,false_positives,false_negatives,precision,recall,f1_score,accuracy,conf_threshold,scale
-90,0,30,21,0,9,1.0000,0.7000,0.8235,0.7000,0.9,128
-60,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-60,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-60,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-60,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-60,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-60,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-60,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-60,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-60,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-60,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-60,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-60,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-60,90,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.9,128
-30,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-30,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-30,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-30,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-30,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-30,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-30,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-30,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-30,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-30,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-30,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-30,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-30,90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-15,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-15,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-15,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-15,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-15,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-15,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-15,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-15,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-15,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-15,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-15,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-15,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
-15,90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
0,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
0,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
0,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
0,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
0,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
0,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
0,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
0,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
0,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
0,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
0,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
0,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
0,90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
15,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
15,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
15,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
15,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
15,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
15,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
15,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
15,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
15,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
15,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
15,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
15,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
15,90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
30,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
30,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
30,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
30,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
30,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
30,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
30,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
30,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
30,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
30,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
30,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
30,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
30,90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
60,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
60,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
60,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
60,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
60,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
60,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
60,0,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.9,128
60,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
60,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
60,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
60,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
60,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
60,90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,128
90,0,30,20,0,10,1.0000,0.6667,0.8000,0.6667,0.9,128
