tilt,pan,total_images,true_positives,false_positives,false_negatives,precision,recall,f1_score,accuracy,conf_threshold,scale
-90,0,30,8,0,22,1.0000,0.2667,0.4211,0.2667,0.9,56
-60,-90,30,14,0,16,1.0000,0.4667,0.6364,0.4667,0.9,56
-60,-75,30,13,0,17,1.0000,0.4333,0.6047,0.4333,0.9,56
-60,-60,30,15,0,15,1.0000,0.5000,0.6667,0.5000,0.9,56
-60,-45,30,13,0,17,1.0000,0.4333,0.6047,0.4333,0.9,56
-60,-30,30,18,0,12,1.0000,0.6000,0.7500,0.6000,0.9,56
-60,-15,30,19,0,11,1.0000,0.6333,0.7755,0.6333,0.9,56
-60,0,30,21,0,9,1.0000,0.7000,0.8235,0.7000,0.9,56
-60,15,30,20,0,10,1.0000,0.6667,0.8000,0.6667,0.9,56
-60,30,30,20,0,10,1.0000,0.6667,0.8000,0.6667,0.9,56
-60,45,30,19,0,11,1.0000,0.6333,0.7755,0.6333,0.9,56
-60,60,30,18,0,12,1.0000,0.6000,0.7500,0.6000,0.9,56
-60,75,30,18,0,12,1.0000,0.6000,0.7500,0.6000,0.9,56
-60,90,30,15,0,15,1.0000,0.5000,0.6667,0.5000,0.9,56
-30,-90,30,26,0,4,1.0000,0.8667,0.9286,0.8667,0.9,56
-30,-75,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.9,56
-30,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,56
-30,-45,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.9,56
-30,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,56
-30,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,56
-30,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,56
-30,15,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.9,56
-30,30,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.9,56
-30,45,30,27,0,3,1.0000,0.9000,0.9474,0.9000,0.9,56
-30,60,30,25,0,5,1.0000,0.8333,0.9091,0.8333,0.9,56
-30,75,30,27,0,3,1.0000,0.9000,0.9474,0.9000,0.9,56
-30,90,30,26,0,4,1.0000,0.8667,0.9286,0.8667,0.9,56
-15,-90,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.9,56
-15,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,56
-15,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,56
-15,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,56
-15,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,56
-15,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,56
-15,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,56
-15,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,56
-15,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,56
-15,45,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.9,56
-15,60,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.9,56
-15,75,30,27,0,3,1.0000,0.9000,0.9474,0.9000,0.9,56
-15,90,30,25,0,5,1.0000,0.8333,0.9091,0.8333,0.9,56
