tilt,pan,total_images,true_positives,false_positives,false_negatives,precision,recall,f1_score,accuracy,conf_threshold,scale
-90,0,30,11,0,19,1.0000,0.3667,0.5366,0.3667,0.1,40
-60,-90,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
-60,-75,30,28,1,2,0.9655,0.9333,0.9492,0.9032,0.1,40
-60,-60,30,28,1,2,0.9655,0.9333,0.9492,0.9032,0.1,40
-60,-45,30,27,1,3,0.9643,0.9000,0.9310,0.8710,0.1,40
-60,-30,30,24,0,6,1.0000,0.8000,0.8889,0.8000,0.1,40
-60,-15,30,19,1,11,0.9500,0.6333,0.7600,0.6129,0.1,40
-60,0,30,15,0,15,1.0000,0.5000,0.6667,0.5000,0.1,40
-60,15,30,17,0,13,1.0000,0.5667,0.7234,0.5667,0.1,40
-60,30,30,21,0,9,1.0000,0.7000,0.8235,0.7000,0.1,40
-60,45,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
-60,60,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
-60,75,30,28,1,2,0.9655,0.9333,0.9492,0.9032,0.1,40
-60,90,30,25,4,5,0.8621,0.8333,0.8475,0.7353,0.1,40
-30,-90,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
-30,-75,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
-30,-60,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
-30,-45,30,27,0,3,1.0000,0.9000,0.9474,0.9000,0.1,40
-30,-30,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
-30,-15,30,27,0,3,1.0000,0.9000,0.9474,0.9000,0.1,40
-30,0,30,25,0,5,1.0000,0.8333,0.9091,0.8333,0.1,40
-30,15,30,25,0,5,1.0000,0.8333,0.9091,0.8333,0.1,40
-30,30,30,27,0,3,1.0000,0.9000,0.9474,0.9000,0.1,40
-30,45,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
-30,60,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
-30,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.1,40
-30,90,30,29,1,1,0.9667,0.9667,0.9667,0.9355,0.1,40
-15,-90,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
-15,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.1,40
-15,-60,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
-15,-45,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
-15,-30,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
-15,-15,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
-15,0,30,27,0,3,1.0000,0.9000,0.9474,0.9000,0.1,40
-15,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.1,40
-15,30,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
-15,45,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
-15,60,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
-15,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.1,40
-15,90,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
0,-90,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
0,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.1,40
0,-60,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
0,-45,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
0,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.1,40
0,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.1,40
0,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.1,40
0,15,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
0,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.1,40
0,45,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
0,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.1,40
0,75,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
0,90,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
15,-90,30,26,0,4,1.0000,0.8667,0.9286,0.8667,0.1,40
15,-75,30,26,0,4,1.0000,0.8667,0.9286,0.8667,0.1,40
15,-60,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
15,-45,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
15,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.1,40
15,-15,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
15,0,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
15,15,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
15,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.1,40
15,45,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
15,60,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
15,75,30,26,0,4,1.0000,0.8667,0.9286,0.8667,0.1,40
15,90,30,24,0,6,1.0000,0.8000,0.8889,0.8000,0.1,40
30,-90,30,22,0,8,1.0000,0.7333,0.8462,0.7333,0.1,40
30,-75,30,24,1,6,0.9600,0.8000,0.8727,0.7742,0.1,40
30,-60,30,24,0,6,1.0000,0.8000,0.8889,0.8000,0.1,40
30,-45,30,24,0,6,1.0000,0.8000,0.8889,0.8000,0.1,40
30,-30,30,24,0,6,1.0000,0.8000,0.8889,0.8000,0.1,40
30,-15,30,21,0,9,1.0000,0.7000,0.8235,0.7000,0.1,40
30,0,30,27,0,3,1.0000,0.9000,0.9474,0.9000,0.1,40
30,15,30,25,0,5,1.0000,0.8333,0.9091,0.8333,0.1,40
30,30,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
30,45,30,29,0,1,1.0000,0.9667,0.9831,0.9667,0.1,40
30,60,30,26,0,4,1.0000,0.8667,0.9286,0.8667,0.1,40
30,75,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.1,40
30,90,30,26,0,4,1.0000,0.8667,0.9286,0.8667,0.1,40
60,-90,30,9,1,21,0.9000,0.3000,0.4500,0.2903,0.1,40
60,-75,30,14,1,16,0.9333,0.4667,0.6222,0.4516,0.1,40
60,-60,30,7,0,23,1.0000,0.2333,0.3784,0.2333,0.1,40
60,-45,30,6,0,24,1.0000,0.2000,0.3333,0.2000,0.1,40
60,-30,30,12,0,18,1.0000,0.4000,0.5714,0.4000,0.1,40
60,-15,30,5,0,25,1.0000,0.1667,0.2857,0.1667,0.1,40
60,0,30,3,0,27,1.0000,0.1000,0.1818,0.1000,0.1,40
60,15,30,7,1,23,0.8750,0.2333,0.3684,0.2258,0.1,40
60,30,30,16,1,14,0.9412,0.5333,0.6809,0.5161,0.1,40
60,45,30,16,1,14,0.9412,0.5333,0.6809,0.5161,0.1,40
60,60,30,17,0,13,1.0000,0.5667,0.7234,0.5667,0.1,40
60,75,30,20,0,10,1.0000,0.6667,0.8000,0.6667,0.1,40
60,90,30,19,0,11,1.0000,0.6333,0.7755,0.6333,0.1,40
