Im going to give you the evaluation results of a face detection model on an modified HPID dataset, Create a results section in an academic paper with scientific writing style in third person
in latex format
original scale
tilt,pan,total_images,true_positives,false_positives,false_negatives,precision,recall,f1_score,accuracy,conf_threshold,scale
-90,0,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.9,640
-60,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-60,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-60,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-60,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-60,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-60,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-60,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-60,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-60,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-60,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-60,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-60,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-60,90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-30,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-30,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-30,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-30,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-30,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-30,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-30,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-30,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-30,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-30,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-30,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-30,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-30,90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-15,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-15,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-15,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-15,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-15,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-15,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-15,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-15,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-15,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-15,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-15,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-15,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-15,90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
0,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
0,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
0,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
0,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
0,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
0,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
0,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
0,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
0,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
0,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
0,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
0,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
0,90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
15,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
15,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
15,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
15,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
15,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
15,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
15,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
15,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
15,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
15,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
15,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
15,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
15,90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
30,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
30,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
30,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
30,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
30,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
30,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
30,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
30,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
30,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
30,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
30,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
30,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
30,90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
60,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
60,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
60,-60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
60,-45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
60,-30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
60,-15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
60,0,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
60,15,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
60,30,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
60,45,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
60,60,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
60,75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
60,90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
90,0,30,27,0,3,1.0000,0.9000,0.9474,0.9000,0.9,640
original scale with rfb
tilt,pan,total_images,true_positives,false_positives,false_negatives,precision,recall,f1_score,accuracy,conf_threshold,scale
-90,0,30,27,0,3,1.0000,0.9000,0.9474,0.9000,0.9,640
-60,-90,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
-60,-75,30,30,0,0,1.0000,1.0000,1.0000,1.0000,0.9,640
